LAUS,FIPS_state,FIPS_county,GEOID,county_name,period,civilianlaborforce,employed,unemployed_level,unemployed_rate
CN0100100000000,1,1,1001,"Autauga County, AL",17-Jul,"25,832","24,687","1,145",4.4
CN0100300000000,1,3,1003,"Baldwin County, AL",17-Jul,"93,777","90,008","3,769",4
CN0100500000000,1,5,1005,"Barbour County, AL",17-Jul,"8,185","7,637",548,6.7
CN0100700000000,1,7,1007,"Bibb County, AL",17-Jul,"8,619","8,189",430,5
CN0100900000000,1,9,1009,"Blount County, AL",17-Jul,"24,853","23,784","1,069",4.3
CN0101100000000,1,11,1011,"Bullock County, AL",17-Jul,"4,930","4,655",275,5.6
CN0101300000000,1,13,1013,"Butler County, AL",17-Jul,"9,252","8,633",619,6.7
CN0101500000000,1,15,1015,"Calhoun County, AL",17-Jul,"45,663","43,168","2,495",5.5
CN0101700000000,1,17,1017,"Chambers County, AL",17-Jul,"15,321","14,637",684,4.5
CN0101900000000,1,19,1019,"Cherokee County, AL",17-Jul,"11,068","10,575",493,4.5
CN0102100000000,1,21,1021,"Chilton County, AL",17-Jul,"19,433","18,580",853,4.4
CN0102300000000,1,23,1023,"Choctaw County, AL",17-Jul,"4,278","3,963",315,7.4
CN0102500000000,1,25,1025,"Clarke County, AL",17-Jul,"7,815","7,017",798,10.2
CN0102700000000,1,27,1027,"Clay County, AL",17-Jul,"5,725","5,437",288,5
CN0102900000000,1,29,1029,"Cleburne County, AL",17-Jul,"6,027","5,739",288,4.8
CN0103100000000,1,31,1031,"Coffee County, AL",17-Jul,"20,688","19,690",998,4.8
CN0103300000000,1,33,1033,"Colbert County, AL",17-Jul,"23,476","22,156","1,320",5.6
CN0103500000000,1,35,1035,"Conecuh County, AL",17-Jul,"4,536","4,218",318,7
CN0103700000000,1,37,1037,"Coosa County, AL",17-Jul,"4,415","4,172",243,5.5
CN0103900000000,1,39,1039,"Covington County, AL",17-Jul,"15,684","14,777",907,5.8
CN0104100000000,1,41,1041,"Crenshaw County, AL",17-Jul,"6,575","6,213",362,5.5
CN0104300000000,1,43,1043,"Cullman County, AL",17-Jul,"37,991","36,462","1,529",4
CN0104500000000,1,45,1045,"Dale County, AL",17-Jul,"19,984","19,030",954,4.8
CN0104700000000,1,47,1047,"Dallas County, AL",17-Jul,"15,554","14,024","1,530",9.8
