attacktype1_txt,targtype1_txt,nkill
Assassination,Private Citizens & Property,1
Assassination,Journalists & Media,1
Assassination,Government (Diplomatic),1
Armed Assault,Airports & Aircraft,1
Facility/Infrastructure Attack,Private Citizens & Property,7
Bombing/Explosion,Police,1
Bombing/Explosion,Airports & Aircraft,47
Assassination,Military,2
Bombing/Explosion,Unknown,2
Assassination,Private Citizens & Property,1
Unknown,Military,1
Hostage Taking (Kidnapping),Government (Diplomatic),1
Unknown,Military,2
Armed Assault,Business,1
Bombing/Explosion,Airports & Aircraft,36
Armed Assault,Police,1
Assassination,Government (Diplomatic),1
Armed Assault,Police,1
Bombing/Explosion,Business,1
Armed Assault,Police,1
Armed Assault,Police,1
Hostage Taking (Kidnapping),Government (General),1
Assassination,Government (General),1
Bombing/Explosion,Airports & Aircraft,1
Assassination,Military,1
Hostage Taking (Kidnapping),Government (Diplomatic),1
Armed Assault,Police,1
Armed Assault,Police,1
Armed Assault,Terrorists/Non-State Militia,5
Armed Assault,Private Citizens & Property,3
Armed Assault,Private Citizens & Property,1
Armed Assault,Private Citizens & Property,1
Armed Assault,Religious Figures/Institutions,3
Armed Assault,Police,1
Bombing/Explosion,Police,1
Armed Assault,Private Citizens & Property,1
Armed Assault,Police,2
Assassination,Business,1
Hostage Taking (Kidnapping),Government (General),1
Assassination,Police,1
Armed Assault,Police,1
Hostage Taking (Kidnapping),Government (General),4
Bombing/Explosion,Police,2
Assassination,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Armed Assault,Police,1
Bombing/Explosion,Military,1
Facility/Infrastructure Attack,Business,2
Bombing/Explosion,Government (Diplomatic),2
Bombing/Explosion,Terrorists/Non-State Militia,1
Hijacking,Airports & Aircraft,1
Armed Assault,Police,1
Armed Assault,Police,1
Armed Assault,Private Citizens & Property,1
Hostage Taking (Kidnapping),Government (General),1
Armed Assault,Police,1
Assassination,Private Citizens & Property,1
Assassination,Government (General),1
Armed Assault,Private Citizens & Property,1
Armed Assault,Private Citizens & Property,1
Assassination,Police,1
Armed Assault,Private Citizens & Property,2
Hostage Taking (Kidnapping),Government (Diplomatic),1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Police,1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Business,3
Bombing/Explosion,Military,1
Bombing/Explosion,Police,1
Armed Assault,Police,3
Armed Assault,NGO,1
Armed Assault,Military,3
Bombing/Explosion,Military,11
Bombing/Explosion,Private Citizens & Property,16
Armed Assault,Police,1
Armed Assault,Police,2
Hostage Taking (Kidnapping),Government (General),2
Armed Assault,Business,2
Hostage Taking (Kidnapping),Private Citizens & Property,6
Assassination,Government (General),1
Bombing/Explosion,Military,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Military,12
Bombing/Explosion,Business,4
Armed Assault,Military,1
Hostage Taking (Kidnapping),Private Citizens & Property,83
Bombing/Explosion,Military,8
Bombing/Explosion,Military,4
Unknown,Military,2
Unknown,Military,14
Armed Assault,Military,3
Bombing/Explosion,Unknown,4
Bombing/Explosion,Unknown,4
Bombing/Explosion,Transportation,6
Bombing/Explosion,Transportation,1
Bombing/Explosion,Business,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Police,11
Armed Assault,Government (Diplomatic),7
Bombing/Explosion,Private Citizens & Property,1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Military,9
Bombing/Explosion,Private Citizens & Property,13
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Government (General),1
Hostage Taking (Kidnapping),Private Citizens & Property,18
Armed Assault,Private Citizens & Property,3
Bombing/Explosion,Military,1
Armed Assault,Private Citizens & Property,5
Armed Assault,Private Citizens & Property,3
Bombing/Explosion,Private Citizens & Property,1
Assassination,Military,1
Armed Assault,Private Citizens & Property,1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Police,1
Bombing/Explosion,Government (Diplomatic),1
Armed Assault,Police,2
Bombing/Explosion,Police,7
Assassination,Government (General),1
Bombing/Explosion,Government (General),1
Bombing/Explosion,Police,4
Armed Assault,Police,15
Bombing/Explosion,Private Citizens & Property,2
Armed Assault,Police,1
Bombing/Explosion,Private Citizens & Property,9
Armed Assault,Private Citizens & Property,1
Armed Assault,Police,1
Bombing/Explosion,Private Citizens & Property,2
Hostage Taking (Kidnapping),Business,1
Bombing/Explosion,Military,112
Armed Assault,Religious Figures/Institutions,1
Armed Assault,Religious Figures/Institutions,1
Hostage Taking (Kidnapping),Private Citizens & Property,1
Armed Assault,Police,1
Bombing/Explosion,Government (General),1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Police,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Armed Assault,Police,1
Assassination,Government (General),2
Bombing/Explosion,Military,5
Armed Assault,Military,1
Assassination,Private Citizens & Property,1
Hostage Taking (Kidnapping),Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,3
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Military,5
Armed Assault,Military,1
Hostage Taking (Kidnapping),Private Citizens & Property,2
Assassination,Terrorists/Non-State Militia,1
Armed Assault,Private Citizens & Property,1
Unknown,Private Citizens & Property,3
Assassination,Government (General),1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Utilities,7
Bombing/Explosion,Military,1
Assassination,Private Citizens & Property,4
Bombing/Explosion,Private Citizens & Property,4
Bombing/Explosion,Private Citizens & Property,5
Armed Assault,Private Citizens & Property,1
Armed Assault,Military,1
Assassination,Military,1
Bombing/Explosion,Private Citizens & Property,3
Bombing/Explosion,Private Citizens & Property,2
Unknown,Private Citizens & Property,2
Bombing/Explosion,Police,1
Armed Assault,Terrorists/Non-State Militia,2
Hostage Taking (Kidnapping),Private Citizens & Property,1
Unknown,Private Citizens & Property,24
Bombing/Explosion,Military,4
Armed Assault,Police,1
Hostage Taking (Kidnapping),Private Citizens & Property,1
Unknown,Police,6
Bombing/Explosion,Police,66
Bombing/Explosion,Police,8
Bombing/Explosion,Other,2
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Armed Assault,Private Citizens & Property,1
Unknown,Police,2
Hostage Taking (Kidnapping),Private Citizens & Property,14
Bombing/Explosion,Military,17
Armed Assault,Police,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Hostage Taking (Kidnapping),Private Citizens & Property,6
Hostage Taking (Kidnapping),Private Citizens & Property,1
Armed Assault,Military,3
Armed Assault,Military,1
Armed Assault,Private Citizens & Property,1
Armed Assault,Military,1
Bombing/Explosion,Private Citizens & Property,3
Bombing/Explosion,Private Citizens & Property,24
Armed Assault,Private Citizens & Property,1
Armed Assault,Police,2
Armed Assault,Business,1
Assassination,Private Citizens & Property,1
Hostage Taking (Kidnapping),Military,8
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Military,2
Armed Assault,Police,1
Bombing/Explosion,Religious Figures/Institutions,1
Bombing/Explosion,Private Citizens & Property,1
Armed Assault,Government (Diplomatic),1
Bombing/Explosion,Military,2
Armed Assault,Police,2
Armed Assault,Transportation,1
Bombing/Explosion,Business,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Other,3
Hostage Taking (Kidnapping),Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Hostage Taking (Kidnapping),Private Citizens & Property,12
Unknown,Military,17
Armed Assault,Military,2
Assassination,Military,1
Armed Assault,Police,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Armed Assault,Government (General),1
Unknown,Private Citizens & Property,1
Assassination,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,3
Armed Assault,Private Citizens & Property,7
Bombing/Explosion,Private Citizens & Property,3
Bombing/Explosion,Military,3
Bombing/Explosion,Military,10
Bombing/Explosion,Military,10
Bombing/Explosion,Unknown,3
Bombing/Explosion,Terrorists/Non-State Militia,1
Bombing/Explosion,Private Citizens & Property,2
Unknown,Private Citizens & Property,3
Bombing/Explosion,Military,1
Bombing/Explosion,Educational Institution,3
Bombing/Explosion,Terrorists/Non-State Militia,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Assassination,Private Citizens & Property,1
Hostage Taking (Kidnapping),Private Citizens & Property,1
Bombing/Explosion,Educational Institution,3
Armed Assault,Police,2
Hostage Taking (Barricade Incident),Business,21
Bombing/Explosion,Business,11
Bombing/Explosion,Business,11
Bombing/Explosion,Private Citizens & Property,4
Bombing/Explosion,Private Citizens & Property,3
Bombing/Explosion,Private Citizens & Property,12
Bombing/Explosion,Private Citizens & Property,1
Assassination,Private Citizens & Property,1
Armed Assault,Government (General),1
Bombing/Explosion,Tourists,13
Armed Assault,Police,1
Armed Assault,Business,1
Armed Assault,Military,1
Assassination,Police,1
Bombing/Explosion,Police,3
Bombing/Explosion,Military,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Assassination,Journalists & Media,2
Armed Assault,Military,2
Armed Assault,Military,11
Bombing/Explosion,Private Citizens & Property,5
Armed Assault,Private Citizens & Property,3
Bombing/Explosion,Unknown,25
Bombing/Explosion,Government (Diplomatic),10
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Government (General),16
Armed Assault,Military,10
Bombing/Explosion,Religious Figures/Institutions,13
Unknown,Private Citizens & Property,2
Armed Assault,Military,3
Armed Assault,Government (Diplomatic),3
Armed Assault,Police,11
Bombing/Explosion,Unknown,4
Armed Assault,Police,2
Bombing/Explosion,Private Citizens & Property,3
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,2
Armed Assault,Military,1
Unknown,Military,1
Bombing/Explosion,Military,1
Hostage Taking (Kidnapping),Terrorists/Non-State Militia,1
Bombing/Explosion,Police,3
Armed Assault,Private Citizens & Property,6
Bombing/Explosion,Business,1
Bombing/Explosion,Police,4
Bombing/Explosion,Police,4
Armed Assault,Military,34
Bombing/Explosion,Police,6
Hostage Taking (Kidnapping),Business,3
Bombing/Explosion,Government (General),9
Assassination,Military,1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Business,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Military,2
Armed Assault,Military,1
Armed Assault,Military,1
Bombing/Explosion,Government (General),1
Armed Assault,Private Citizens & Property,1
Armed Assault,Military,1
Armed Assault,Violent Political Party,1
Bombing/Explosion,Police,2
Hostage Taking (Barricade Incident),Business,13
Bombing/Explosion,Business,10
Hostage Taking (Kidnapping),Military,141
Armed Assault,Police,4
Armed Assault,Military,4
Armed Assault,Military,6
Armed Assault,Government (General),1
Bombing/Explosion,Government (General),1
Armed Assault,Private Citizens & Property,2
Bombing/Explosion,Military,14
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,4
Hostage Taking (Kidnapping),Private Citizens & Property,19
Bombing/Explosion,Business,1
Bombing/Explosion,Police,1
Bombing/Explosion,Private Citizens & Property,2
Armed Assault,Police,4
Hostage Taking (Kidnapping),Government (General),1
Bombing/Explosion,Military,8
Armed Assault,Private Citizens & Property,2
Bombing/Explosion,Terrorists/Non-State Militia,3
Armed Assault,Private Citizens & Property,3
Assassination,Police,1
Assassination,Police,1
Assassination,Police,1
Hostage Taking (Kidnapping),Private Citizens & Property,2
Armed Assault,Business,11
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Private Citizens & Property,16
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Military,16
Hostage Taking (Kidnapping),Private Citizens & Property,16
Hostage Taking (Kidnapping),Private Citizens & Property,16
Hostage Taking (Kidnapping),Military,17
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Hostage Taking (Kidnapping),Private Citizens & Property,1
Armed Assault,Military,17
Armed Assault,Military,18
Armed Assault,Police,4
Bombing/Explosion,Terrorists/Non-State Militia,1
Bombing/Explosion,Military,6
Armed Assault,Police,2
Bombing/Explosion,Private Citizens & Property,1
Assassination,Government (General),1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Military,2
Bombing/Explosion,Government (General),14
Assassination,Police,7
Assassination,Police,1
Assassination,Police,1
Armed Assault,Violent Political Party,3
Armed Assault,Police,9
Armed Assault,Private Citizens & Property,1
Armed Assault,Military,1
Bombing/Explosion,Government (General),1
Bombing/Explosion,Private Citizens & Property,2
Bombing/Explosion,Private Citizens & Property,1
Bombing/Explosion,Police,3
Bombing/Explosion,Religious Figures/Institutions,1
Armed Assault,Military,1
Armed Assault,Military,2
Armed Assault,Private Citizens & Property,10
Armed Assault,Private Citizens & Property,1
Armed Assault,Private Citizens & Property,1
Bombing/Explosion,Private Citizens & Property,13
Assassination,Journalists & Media,1
Armed Assault,Violent Political Party,1
Hostage Taking (Kidnapping),Private Citizens & Property,2
Armed Assault,Educational Institution,1
Assassination,Military,1
Bombing/Explosion,Military,6
Unknown,Unknown,1
Armed Assault,Religious Figures/Institutions,1
Bombing/Explosion,Religious Figures/Institutions,5
Bombing/Explosion,Police,2
