country_txt,natlty1_txt,nkill
Philippines,United States,1
Guatemala,Great Britain,1
West Germany (FRG),Israel,1
West Germany (FRG),Germany,7
Philippines,United States,1
Guatemala,Germany,1
Philippines,United States,2
Paraguay,Israel,1
Jordan,United States,1
Brazil,Germany,1
United Kingdom,Northern Ireland,5
United Kingdom,Northern Ireland,3
United Kingdom,Northern Ireland,1
United Kingdom,Northern Ireland,1
United Kingdom,Northern Ireland,3
Uruguay,United States,1
United Kingdom,Northern Ireland,2
Greece,United States,2
United Kingdom,Northern Ireland,1
United Kingdom,Northern Ireland,1
Pakistan,Poland,1
United Kingdom,Northern Ireland,2
Brazil,Sweden,1
United Kingdom,Northern Ireland,1
Somalia,Turkey,1
Afghanistan,India,7
Afghanistan,United States,1
Somalia,Turkey,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,3
West Bank and Gaza Strip,Israel,1
United Kingdom,Northern Ireland,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,2
Afghanistan,Pakistan,10
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
Laos,China,2
West Bank and Gaza Strip,Israel,3
Cameroon,Nigeria,6
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,4
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,2
Somalia,Turkey,1
West Bank and Gaza Strip,Israel,2
United Kingdom,Great Britain,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
Pakistan,Afghanistan,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
United Kingdom,Northern Ireland,1
West Bank and Gaza Strip,Israel,1
Philippines,Saudi Arabia,1
Laos,China,1
Afghanistan,India,6
United Kingdom,Northern Ireland,1
West Bank and Gaza Strip,Israel,1
Israel,United States,2
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
United Kingdom,Great Britain,1
Turkey,Syria,1
Lebanon,West Bank and Gaza Strip,1
Mali,France,3
Syria,West Bank and Gaza Strip,2
West Bank and Gaza Strip,Israel,1
United Kingdom,Northern Ireland,1
Turkey,Syria,4
Mozambique,Malawi,4
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,1
United Kingdom,Northern Ireland,1
Greece,Egypt,66
West Bank and Gaza Strip,Israel,1
Iraq,Turkey,1
Iraq,Turkey,1
West Bank and Gaza Strip,Israel,1
Afghanistan,United States,3
Somalia,Kenya,2
United Kingdom,Great Britain,1
Afghanistan,Nepal,16
Syria,Russia,3
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
Saudi Arabia,United States,1
Syria,Russia,2
Libya,France,3
Germany,Hong Kong,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
Syria,Russia,5
Pakistan,Afghanistan,2
Pakistan,Afghanistan,1
West Bank and Gaza Strip,Israel,1
Kenya,Somalia,1
Kyrgyzstan,China,1
Syria,Turkey,6
South Sudan,Democratic Republic of the Congo,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,2
West Bank and Gaza Strip,Israel,1
Syria,Turkey,3
West Bank and Gaza Strip,Israel,1
Libya,Netherlands,1
West Bank and Gaza Strip,Israel,3
Somalia,Kenya,2
Niger,United States,2
West Bank and Gaza Strip,Israel,1
South Sudan,Sudan,2
United Kingdom,Northern Ireland,1
Pakistan,United Kingdom,5
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
Jordan,United States,3
Mali,France,1
Malaysia,Germany,2
Afghanistan,Germany,5
Syria,Turkey,1
Somalia,Tanzania,1
West Bank and Gaza Strip,Israel,1
Syria,United States,1
Syria,Turkey,4
West Bank and Gaza Strip,Israel,1
Pakistan,China,2
Syria,Turkey,2
Syria,Russia,2
South Sudan,Sudan,2
South Sudan,Sudan,2
Yemen,France,3
Syria,Turkey,2
Malaysia,Philippines,3
West Bank and Gaza Strip,Israel,1
West Bank and Gaza Strip,Israel,1
Ecuador,China,1
Turkey,Russia,2
Germany,Poland,1
Syria,Turkey,2
Yemen,Iran,7
Lebanon,West Bank and Gaza Strip,2
Syria,Turkey,13
Libya,Egypt,1
South Sudan,Uganda,1
